x,mND1,mND2,mND3,mND4,mND5,mND6,mND7,mND8,mND9,mND10,mHFD1,mHFD2,mHFD3,mHFD4,mHFD5,mHFD6,mHFD7,mHFD8,mHFD9,mHFD10
OTU221,0,1,1,2,0,10,1,3,2,1,0,0,0,0,0,0,0,0,0,0
OTU222,0,0,1,0,0,0,1,2,0,13,0,0,0,0,0,0,0,0,0,0
OTU223,4,1,2,0,3,1,5,2,12,5,0,0,1,0,0,0,2,6,1,6
OTU224,0,0,0,1,0,0,0,0,1,10,0,0,0,0,0,0,0,0,0,0
OTU225,0,0,0,1,0,1,0,1,1,1,15,11,18,1,25,0,2,5,0,1
OTU226,0,1,0,2,0,4,0,0,1,0,0,6,0,0,1,0,8,2,0,3
OTU227,0,1,0,0,0,5,0,1,1,0,22,42,0,2,1,0,3,0,0,0
OTU229,1,1,1,0,0,3,0,10,1,0,9,4,2,5,2,2,4,6,2,6
OTU23,1,2,4,2,1,0,1,2,0,1,19,7,6,27,38,3,4,149,15,19
OTU230,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,2,3,0,1
OTU231,0,2,0,0,0,3,0,0,0,0,0,0,5,0,1,0,14,14,6,17
OTU232,0,4,0,5,1,0,0,2,1,1,0,4,3,0,6,2,8,3,0,1
OTU233,2,0,1,0,0,6,0,0,3,0,8,4,0,0,3,2,12,2,1,3
OTU234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,4
OTU235,0,1,9,9,0,0,2,2,0,0,0,7,0,0,0,4,0,0,2,0
OTU236,0,11,1,7,0,10,1,13,9,0,1,2,0,0,3,2,11,5,1,3
OTU237,0,1,3,0,0,3,1,1,5,3,0,0,3,0,0,0,2,7,4,13
OTU238,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,8
OTU239,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,8,0,3
OTU24,14,55,17,41,2,12,38,52,61,11,104,1,8,75,2,55,9,33,9,33
OTU240,0,1,0,0,0,1,0,2,2,0,0,0,0,0,1,1,1,8,1,3
OTU241,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11
OTU242,0,11,0,5,2,6,0,3,4,1,0,0,0,0,0,0,0,0,0,0
OTU243,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU245,1,0,0,1,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OTU246,1,0,1,0,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU247,0,0,2,0,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0
OTU248,3,9,7,0,19,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0
OTU249,0,1,8,0,9,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0
OTU25,23,44,36,13,34,11,26,19,32,3,69,13,14,93,7,365,21,8,11,28
OTU250,0,0,0,4,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU251,2,0,1,0,4,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
OTU253,1,3,0,2,0,7,0,1,0,2,0,0,0,0,0,0,0,0,0,0
OTU254,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU255,0,1,0,1,0,0,0,4,2,1,0,21,1,0,3,1,3,12,2,3
OTU256,0,5,0,14,2,2,1,3,1,0,2,5,1,0,1,1,3,0,0,0
OTU257,1,0,0,0,1,1,0,2,1,0,1,22,1,0,1,0,10,2,0,0
