name,log2FC,pvalue,Status
peak70449,-1.369062295,0.016786872,Loss
peak46166,-1.364896996,0.036849208,Loss
peak7730,-1.364713305,0.028194626,Loss
peak8083,-1.361975668,0.051457806,Stable
peak21861,-1.360880585,0.045287691,Loss
peak34057,-1.35963963,0.031177691,Loss
peak14645,-1.358437077,0.05267427,Stable
peak28381,-1.358175729,0.051785906,Stable
peak31163,-1.357383619,0.004247649,Loss
peak9647,-1.355244404,0.014601072,Loss
peak39470,-1.354775518,0.014993939,Loss
peak39374,-1.353299668,0.029324433,Loss
peak11876,-1.35312441,0.015058373,Loss
peak57379,-1.351595027,0.029329363,Loss
peak39891,-1.350301248,0.046264653,Loss
peak68126,-1.350266047,0.024908985,Loss
peak24307,-1.348458846,0.031483189,Loss
peak42216,-1.347971015,0.028604931,Loss
peak71379,-1.347313547,0.064253309,Stable
peak19360,-1.34606303,0.021425083,Loss
peak48321,-1.343705238,0.007627337,Loss
peak60101,-1.34240568,0.018676387,Loss
peak49562,-1.340913102,0.005659553,Loss
peak43832,-1.33796408,0.001597934,Loss
peak52113,-1.336845419,0.023127075,Loss
peak5338,-1.336721509,0.096165778,Stable
peak43745,-1.335877807,0.054925278,Stable
peak11080,-1.335601828,0.03365145,Loss
peak63957,-1.334567078,0.033814574,Loss
peak1315,-1.334205331,0.031878184,Loss
peak10899,-1.333952593,0.060214086,Stable
peak44048,-1.332454638,0.114645136,Stable
peak52722,-1.332422446,0.00173015,Loss
peak63596,-1.331954272,0.03392866,Loss
peak31173,-1.331904334,0.016913914,Loss
peak33471,-1.331550322,0.007085976,Loss
peak7780,-1.331368162,0.026236091,Loss
peak26604,-1.331234644,0.073524096,Stable
peak19529,-1.331025963,0.000992282,Loss
peak39983,-1.330789963,0.076988022,Stable
peak14132,-1.330161954,0.043941525,Loss
peak23920,-1.32967633,0.018166588,Loss
peak49116,-1.329395662,0.003561091,Loss
peak47767,-1.328760276,0.048972396,Loss
peak13890,-1.328541146,0.022867284,Loss
peak19364,-1.327274833,0.029797367,Loss
peak67516,-1.326657332,0.039113209,Loss
peak5949,-1.326644222,0.078727342,Stable
peak59287,-1.326634483,0.036352975,Loss
peak5431,-1.325987504,0.072110587,Stable
peak10140,-1.325849869,0.017080538,Loss
peak60789,-1.325536059,0.080605679,Stable
peak63552,-1.324169033,0.096404687,Stable
peak4000,-1.323061787,0.023282431,Loss
