X,norm_foldChange,LOGFC,pvalue,pvalue.adj.FDR,STATE
P2ry14,0.434114529,-1.203852387,4.38E-13,1.55E-12,DOWN
Nynrin,0.433971975,-1.204326217,0,0,DOWN
Nbas,0.433898214,-1.204571446,0,0,DOWN
Ctsc,0.433755849,-1.205044883,0,0,DOWN
Hist1h4h,0.433717945,-1.205170958,0,0,DOWN
Gng3,0.433459058,-1.206032364,0.000803634,0.001706622,DOWN
Nfrkb,0.433233204,-1.206784276,0,0,DOWN
Arid1b,0.433187855,-1.2069353,0,0,DOWN
Smurf2,0.432989295,-1.207596738,0,0,DOWN
Zbtb37,0.432903127,-1.207883874,0,0,DOWN
Thsd4,0.432672319,-1.208653271,3.06E-06,7.75E-06,DOWN
Ogn,0.432422075,-1.209487922,0.015178086,0.028302825,DOWN
Gm26645,0.432422075,-1.209487922,0.009002616,0.017225272,DOWN
Rock2,0.432369276,-1.209664086,0,0,DOWN
Mnt,0.432314747,-1.209846044,0,0,DOWN
Sult1c1,0.431772792,-1.211655759,0.006270419,0.012204097,DOWN
Gdap10,0.431772792,-1.211655759,3.70E-09,1.10E-08,DOWN
Kif20b,0.431730515,-1.211797026,0,0,DOWN
Plcl2,0.431638701,-1.21210387,2.55E-11,8.42E-11,DOWN
Kif15,0.431614887,-1.21218347,2.61E-08,7.45E-08,DOWN
Smg6,0.431297623,-1.213244331,0,0,DOWN
Srgap2,0.431247666,-1.213411447,0,0,DOWN
Zfp345,0.431087439,-1.21394757,0.000289604,0.000636037,DOWN
Fabp5,0.430822035,-1.214836054,0,0,DOWN
Sv2c,0.430802516,-1.214901418,0.004229714,0.008380653,DOWN
Rpl22,0.430509394,-1.215883376,0,0,DOWN
Colec11,0.430496375,-1.215927007,0,0,DOWN
Ankrd37,0.430468949,-1.21601892,0,0,DOWN
Gjc1,0.430458579,-1.216053673,0,0,DOWN
Catsperd,0.430362922,-1.216374308,0.026685513,0.048000449,DOWN
Klhl32,0.430273188,-1.216675151,1.10E-09,3.36E-09,DOWN
Tenm3,0.429984913,-1.217642054,0,0,DOWN
Ube2q1,0.429961413,-1.217720903,0,0,DOWN
Pom121,0.429926372,-1.217838486,0,0,DOWN
Sptbn1,0.42986544,-1.21804297,0,0,DOWN
Cad,0.429708129,-1.218571027,0,0,DOWN
Ctbs,0.429695919,-1.21861202,0,0,DOWN
Pfkp,0.429532462,-1.219160929,6.47E-12,2.20E-11,DOWN
Hist1h2bf,0.429195044,-1.220294677,0.001050511,0.002209088,DOWN
Lrrc8c,0.429175027,-1.220361965,0,0,DOWN
Gm10762,0.428839456,-1.221490446,0,0,DOWN
Magi2,0.428612321,-1.222254773,0,0,DOWN
Fbrsl1,0.428521797,-1.222559505,0,0,DOWN
Ate1,0.428419284,-1.222904675,0,0,DOWN
Tmem161b,0.428342621,-1.223162859,0,0,DOWN
Cdk8,0.428294698,-1.223324277,0,0,DOWN
Ankrd50,0.428121935,-1.223906342,0,0,DOWN
Dhx38,0.427917678,-1.224594815,0,0,DOWN
Tnfaip8,0.427763139,-1.225115925,0,0,DOWN
Thbd,0.427693049,-1.225352334,1.50E-08,4.34E-08,DOWN
Zc3h12c,0.427677948,-1.225403274,0,0,DOWN
Oas1h,0.427633347,-1.225553735,8.85E-07,2.32E-06,DOWN
Fgf18,0.427457776,-1.226146176,0,0,DOWN
Ppm1e,0.427186195,-1.22706307,1.15E-10,3.68E-10,DOWN
Etv6,0.427181619,-1.227078522,0,0,DOWN
Tspyl4,0.427176053,-1.227097322,4.46E-14,1.66E-13,DOWN
Tex21,0.427132508,-1.227244393,0.001380808,0.002870711,DOWN
Nufip2,0.426764152,-1.228489099,0,0,DOWN
Scaf8,0.426763895,-1.228489968,0,0,DOWN
Ranbp2,0.426278639,-1.230131331,0,0,DOWN
Pigg,0.426252629,-1.230219364,1.02E-13,3.74E-13,DOWN
Polr2a,0.426243306,-1.230250917,0,0,DOWN
Slc8a1,0.426217343,-1.230338797,0.000177083,0.000395589,DOWN
Hoxd8,0.426134688,-1.230618602,0,0,DOWN
Map3k9,0.426015822,-1.231021084,0.000129234,0.000291628,DOWN
Loxl2,0.4259228,-1.231336134,0,0,DOWN
Oas1d,0.425700488,-1.232089351,3.87E-05,9.05E-05,DOWN
Nbn,0.425692101,-1.232117773,0,0,DOWN
Ints1,0.42526656,-1.23356068,0,0,DOWN
Fam117a,0.425225584,-1.233699693,0,0,DOWN
Pnp,0.425016928,-1.23440779,0,0,DOWN
Gm44731,0.424966522,-1.234578903,0.012845616,0.024171648,DOWN
Dnah9,0.424966522,-1.234578903,0.002178094,0.004439193,DOWN
Dennd2c,0.424966522,-1.234578903,0.000186325,0.000415249,DOWN
H2-D1,0.424838926,-1.235012137,0,0,DOWN
Ahr,0.424802853,-1.235134641,2.22E-15,8.62E-15,DOWN
Sort1,0.424692791,-1.235508475,1.69E-08,4.88E-08,DOWN
Zfp704,0.424566203,-1.235938562,0,0,DOWN
Msl3l2,0.42433656,-1.236719112,0,0,DOWN
Rif1,0.424159232,-1.23732213,0,0,DOWN
Zfp874b,0.424149849,-1.237354045,1.89E-15,7.35E-15,DOWN
Cadm4,0.423982803,-1.237922346,0,0,DOWN
Il1rl2,0.423842272,-1.238400614,0.008080129,0.015527784,DOWN
Farp2,0.423736072,-1.238762146,9.92E-09,2.89E-08,DOWN
Slc25a47,0.423696069,-1.238898353,7.37E-06,1.81E-05,DOWN
Spdl1,0.423506156,-1.239545156,1.07E-09,3.27E-09,DOWN
Mapt,0.423249485,-1.240419782,0.011263366,0.021344521,DOWN
Pdzd2,0.423151143,-1.240755032,0,0,DOWN
Plag1,0.422932229,-1.241501591,0,0,DOWN
1810022K09Rik,0.42282667,-1.241861716,0,0,DOWN
Calb1,0.422462702,-1.24310412,1.11E-16,4.51E-16,DOWN
Gm13269,0.422212109,-1.243960139,0.002216687,0.004515988,DOWN
Ccdc141,0.421823494,-1.245288644,0,0,DOWN
mt-Co3,0.421491696,-1.246423886,0,0,DOWN
Gm26571,0.421334329,-1.246962628,0.010414563,0.019809995,DOWN
Sned1,0.421042546,-1.24796207,1.08E-07,2.97E-07,DOWN
Asxl1,0.420743349,-1.24898763,0,0,DOWN
Ptprd,0.420616569,-1.249422412,0,0,DOWN
Adamts12,0.42041035,-1.250129907,0.00863578,0.016555398,DOWN
Filip1,0.42041035,-1.250129907,0,0,DOWN
Zfp994,0.420212674,-1.250808418,0,0,DOWN
Snrnp200,0.420137357,-1.251067026,0,0,DOWN
Sptan1,0.419889488,-1.251918425,0,0,DOWN
Dusp15,0.41984376,-1.252075551,5.42E-05,0.000125542,DOWN
Frg2f1,0.419825252,-1.252139149,2.35E-09,7.06E-09,DOWN
Lrfn2,0.419796613,-1.25223757,0.002555359,0.005166592,DOWN
Bach2,0.419561036,-1.25304739,0,0,DOWN
Gm37584,0.419359324,-1.25374116,8.45E-09,2.48E-08,DOWN
Znrf2,0.419359324,-1.25374116,0,0,DOWN
Prpf8,0.419214014,-1.25424115,0,0,DOWN
Elmsan1,0.419184664,-1.254342158,0,0,DOWN
Plcl1,0.419184664,-1.254342158,0,0,DOWN
Ephx1,0.419039718,-1.254841101,0,0,DOWN
4831440D22Rik,0.418777689,-1.255743513,6.78E-06,1.67E-05,DOWN
Myzap,0.418385742,-1.257094409,0,0,DOWN
Csnk1g2,0.418349497,-1.257219394,0,0,DOWN
Mgp,0.418139537,-1.25794363,0,0,DOWN
Gm10282,0.418118037,-1.258017816,5.11E-07,1.36E-06,DOWN
Trappc10,0.41772066,-1.259389597,0,0,DOWN
Zkscan2,0.417627575,-1.25971112,8.52E-08,2.36E-07,DOWN
Myo1d,0.417569555,-1.259911567,0,0,DOWN
BC067074,0.417450627,-1.260322519,0,0,DOWN
Gm26691,0.417407419,-1.260471851,5.53E-11,1.79E-10,DOWN
Cdr2,0.417391361,-1.260527355,0.000196813,0.000437884,DOWN
Nlrp14,0.417321621,-1.260768427,0.0003174,0.000694231,DOWN
Leng8,0.417225191,-1.261101827,0,0,DOWN
Pgrmc2,0.417172774,-1.261283089,0,0,DOWN
B930036N10Rik,0.417056823,-1.261684133,3.19E-09,9.51E-09,DOWN
Vmn1r90,0.416352335,-1.264123179,0.000122223,0.000276311,DOWN
1700029J07Rik,0.416148126,-1.264830956,0,0,DOWN
Mdc1,0.41610426,-1.264983035,0,0,DOWN
Col6a6,0.416022303,-1.26526722,0,0,DOWN
Fan1,0.415932607,-1.265578306,0,0,DOWN
Rab3gap1,0.415555022,-1.266888583,0,0,DOWN
Pde3b,0.415290599,-1.267806881,0.000123571,0.000279199,DOWN
Mprip,0.415228034,-1.268024243,0,0,DOWN
Cavin4,0.415218186,-1.268058463,6.96E-05,0.000159957,DOWN
Atxn2l,0.415161449,-1.268255612,0,0,DOWN
Fbxl14,0.414900781,-1.269161722,0,0,DOWN
Rpl5,0.41479888,-1.269516097,0,0,DOWN
Man2c1os,0.414713361,-1.269813567,7.77E-05,0.000178057,DOWN
Cspg4,0.414713361,-1.269813567,9.70E-06,2.37E-05,DOWN
Tbc1d2b,0.414713361,-1.269813567,6.44E-15,2.46E-14,DOWN
C920021L13Rik,0.414596573,-1.270219902,9.28E-13,3.25E-12,DOWN
Tmem87a,0.414501881,-1.270549448,0,0,DOWN
Ttc39b,0.414438677,-1.270769447,0,0,DOWN
Masp1,0.414329602,-1.271149196,0,0,DOWN
5033403F01Rik,0.41425308,-1.271415671,0.003216276,0.006441666,DOWN
Ano5,0.414182049,-1.271663068,6.45E-05,0.000148738,DOWN
Ddx23,0.414031282,-1.272188322,0,0,DOWN
Dsg2,0.413985475,-1.272347946,0,0,DOWN
Sfrp2,0.413965584,-1.272417265,0,0,DOWN
5033430I15Rik,0.413856286,-1.272798225,5.97E-11,1.93E-10,DOWN
Afdn,0.413727662,-1.273246676,0,0,DOWN
Zfp318,0.413722931,-1.273263174,0,0,DOWN
Hmgcr,0.413621115,-1.27361826,0,0,DOWN
Rbm33,0.413411994,-1.27434785,0,0,DOWN
Rnf24,0.413143537,-1.275284995,0,0,DOWN
Zfp459,0.413124798,-1.275350434,0,0,DOWN
Olah,0.412974521,-1.275875319,5.78E-06,1.44E-05,DOWN
Trpc6,0.412865297,-1.276256934,2.09E-08,6.00E-08,DOWN
4933427D06Rik,0.412450774,-1.277706151,0.022632202,0.04114719,DOWN
Hist1h1d,0.412450774,-1.277706151,3.61E-11,1.18E-10,DOWN
Mtss1l,0.412301188,-1.278229475,0,0,DOWN
Pdzk1ip1,0.412273376,-1.278326798,0.00508855,0.009999227,DOWN
Ctla2a,0.412273376,-1.278326798,4.49E-06,1.13E-05,DOWN
Rsad2,0.411695962,-1.280348796,0.000752874,0.001602266,DOWN
Itih5,0.411403445,-1.281374222,0,0,DOWN
Nedd4l,0.411028058,-1.282691214,0,0,DOWN
Cyp4f17,0.410800971,-1.283488504,0.000118044,0.000267139,DOWN
Gm32834,0.410800971,-1.283488504,7.95E-05,0.000181841,DOWN
Gm26521,0.410800971,-1.283488504,8.13E-06,2.00E-05,DOWN
Frem1,0.410800971,-1.283488504,1.19E-08,3.46E-08,DOWN
Neb,0.410800971,-1.283488504,7.36E-11,2.37E-10,DOWN
Cobll1,0.410800971,-1.283488504,2.55E-15,9.88E-15,DOWN
Plcb4,0.410283806,-1.285305882,0,0,DOWN
Stk31,0.410223192,-1.285519039,2.68E-06,6.83E-06,DOWN
Dennd1b,0.410167508,-1.285714885,0,0,DOWN
Virma,0.409956942,-1.286455705,0,0,DOWN
Hist1h3e,0.409917528,-1.286594414,0,0,DOWN
4933413J09Rik,0.409480067,-1.288134868,1.11E-16,4.51E-16,DOWN
Snx25,0.409458484,-1.288210914,5.28E-13,1.87E-12,DOWN
Tlk1,0.409430828,-1.28830836,0,0,DOWN
