x,norm_foldChange,logFC,pvalue,pvalue.adj.FDR,State
Pcsk4,0.767043189,-0.382620282,0.709868706,0.894719512,NA
Hist1h2bh,0.767043189,-0.382620282,0.680513412,0.873186503,NA
1700012C14Rik,0.767043189,-0.382620282,0.592664961,0.810010935,NA
Mgat4a,0.767043189,-0.382620282,0.583899286,0.800434498,NA
Zfp658,0.767043189,-0.382620282,0.559973125,0.775890478,NA
Rhox2f,0.767043189,-0.382620282,0.460051123,0.692070822,NA
Abca4,0.767043189,-0.382620282,0.368202333,0.576385103,NA
Stk36,0.767043189,-0.382620282,0.294432483,0.481479986,NA
4932435O22Rik,0.767043189,-0.382620282,0.236916629,0.401497881,NA
Gm16638,0.767043189,-0.382620282,0.172611202,0.306379076,NA
Elac1,0.767043189,-0.382620282,0.135913854,0.249665508,NA
Rubcn,0.766422604,-0.383787983,0.030113283,0.064448876,NA
Guca1a,0.766028582,-0.384529872,0.047429806,0.09747106,NA
Fam198a,0.765797989,-0.384964223,0.293400624,0.479990998,NA
Cenpn,0.765431754,-0.385654342,0.057776711,0.11666471,NA
Fam13a,0.765076412,-0.386324251,0.038955593,0.08144362,NA
Hs1bp3,0.764975688,-0.386514198,0.241939647,0.405460022,NA
A230050P20Rik,0.764918416,-0.386622213,0.112588619,0.211774087,NA
Elf3,0.764760323,-0.386920419,0.438084499,0.665452473,NA
Rbl1,0.764563524,-0.387291722,0.097237572,0.185653281,NA
Icmt,0.764536512,-0.387342692,0.035712149,0.07528322,NA
Zfp456,0.764159568,-0.388054168,0.387837865,0.602545249,NA
Rbfox3,0.764046927,-0.388266845,0.368818167,0.577257772,NA
Enc1,0.763793006,-0.388746385,0.583547253,0.800036853,NA
Cyb5d2,0.763793006,-0.388746385,0.027225401,0.058674462,NA
Enkur,0.763649193,-0.389018053,0.563340439,0.779736955,NA
Sh3rf1,0.763355482,-0.389573043,0.117971794,0.219540737,NA
Tiam2,0.763129704,-0.389999812,0.372677296,0.582560433,NA
Tceal5,0.762919301,-0.390397633,0.057204522,0.115577556,NA
Ficd,0.762765997,-0.390687563,0.127303543,0.235159089,NA
Ndst4,0.762126246,-0.391898096,0.077706631,0.152863224,NA
Acot4,0.761789469,-0.392535751,0.544680533,0.75948899,NA
Slc38a7,0.761630586,-0.392836678,0.05750341,0.11614585,NA
Ccdc89,0.761403166,-0.393267526,0.887401526,0.996033313,NA
Ppp1r1a,0.761403166,-0.393267526,0.480157362,0.702080633,NA
Zfp661,0.761403166,-0.393267526,0.366435767,0.574437939,NA
Homez,0.761403166,-0.393267526,0.042695579,0.088551473,NA
Padi1,0.760955545,-0.394115921,0.764114776,0.940090709,NA
Hamp2,0.760955545,-0.394115921,0.31431305,0.510068971,NA
Plcb1,0.760955545,-0.394115921,0.229680607,0.393175992,NA
Srp54c,0.76079012,-0.394429584,0.27276902,0.450523233,NA
Pla2g15,0.760637818,-0.394718425,0.077430227,0.152364941,NA
Orc1,0.760615453,-0.394760845,0.324133151,0.524584962,NA
Gm10642,0.760430748,-0.395111226,0.777394472,0.95222399,NA
Pnlip,0.7602851,-0.395387578,0.111818393,0.210465409,NA
Chn2,0.76009813,-0.395742409,0.036179112,0.076210754,NA
